Fichier,Temps,Nombre de couleurs
zeroin.i.1.col,1,49
jean.col,0,10
queen13_13.col,27062,16
DSJC500.9.col,94,162
queen8_12.col,1,12
school1_nsh.col,2185,25
DSJR500.1.col,16,12
queen7_7.col,2,7
DSJR500.1c.col,67,92
DSJC500.1.col,472,15
miles250.col,0,8
myciel7.col,1,8
queen9_9.col,36973,10
queen14_14.col,148,17
DSJC1000.9.col,4802,305
le450_15a.col,377,16
le450_15b.col,5,17
mulsol.i.3.col,1,31
queen5_5.col,0,5
myciel5.col,0,6
flat300_26_0.col,9,40
queen10_10.col,100,12
zeroin.i.3.col,1,30
miles500.col,0,20
homer.col,6,13
queen15_15.col,298,19
mulsol.i.2.col,1,31
miles1000.col,2,42
zeroin.i.2.col,2,30
school1.col,8,22
myciel6.col,0,7
fpsol2.i.3.col,5,30
le450_25a.col,6,25
DSJC125.9.col,42,51
queen12_12.col,1334,15
le450_15c.col,10,23
mulsol.i.1.col,2,49
DSJR500.5.col,37,127
DSJC125.1.col,1151,5
myciel3.col,0,4
flat300_20_0.col,6294,40
le450_25b.col,5,25
inithx.i.3.col,10,31
fpsol2.i.2.col,5,30
le450_15d.col,3576,23
games120.col,1,9
DSJC500.5.col,69,64
flat1000_60_0.col,2271,113
le450_5a.col,5,9
flat1000_50_0.col,390,114
myciel4.col,1,5
fpsol2.i.1.col,7,65
miles750.col,1,31
anna.col,0,11
mulsol.i.4.col,1,31
DSJC1000.1.col,95,26
le450_25c.col,12,28
queen8_8.col,287,9
inithx.i.2.col,10,31
huck.col,1,11
le450_5b.col,8,9
le450_25d.col,10,28
DSJC1000.5.col,322,116
inithx.i.1.col,31,54
le450_5c.col,16355,10
DSJC250.1.col,289,9
queen6_6.col,3,7
miles1500.col,3,73
david.col,1,11
queen11_11.col,8244,13
flat300_28_0.col,10873,40
le450_5d.col,903,10
mulsol.i.5.col,2,31
flat1000_76_0.col,224,113
queen16_16.col,54,22
DSJC125.5.col,2022,20
